2025-01-09 22:14:40,681 [INFO] logger         :39        Logger initialized successfully!
2025-01-09 22:14:41,657 [INFO] main           :61        Modbus Device Connected
2025-01-09 22:14:41,659 [INFO] main           :72        Getting Tags Data...
2025-01-09 22:14:41,660 [INFO] main           :78        Reading tag: tag_1
2025-01-09 22:14:41,676 [INFO] main           :98        Converting data for tag tag_1 - High Word: 1233, Low Word: 0
2025-01-09 22:14:41,677 [INFO] main           :100       Converted value for tag_1: 1233
2025-01-09 22:14:41,678 [INFO] main           :108       Converted tag_1 into signed: 1233
2025-01-09 22:14:41,680 [INFO] main           :78        Reading tag: tag_2
2025-01-09 22:14:41,692 [INFO] main           :98        Converting data for tag tag_2 - High Word: 12309, Low Word: 0
2025-01-09 22:14:41,693 [INFO] main           :100       Converted value for tag_2: 12309
2025-01-09 22:14:41,694 [INFO] main           :108       Converted tag_2 into signed: 12309
2025-01-09 22:14:41,696 [INFO] main           :78        Reading tag: tag_3
2025-01-09 22:14:41,708 [INFO] main           :98        Converting data for tag tag_3 - High Word: 2220, Low Word: 0
2025-01-09 22:14:41,709 [INFO] main           :100       Converted value for tag_3: 2220
2025-01-09 22:14:41,710 [INFO] main           :108       Converted tag_3 into signed: 2220
2025-01-09 22:14:41,711 [INFO] main           :78        Reading tag: tag_4
2025-01-09 22:14:41,724 [INFO] main           :98        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-09 22:14:41,725 [INFO] main           :100       Converted value for tag_4: 131532758
2025-01-09 22:14:41,726 [INFO] main           :108       Converted tag_4 into signed: 131532758
2025-01-09 22:14:41,727 [INFO] main           :78        Reading tag: tag_5
2025-01-09 22:14:41,740 [INFO] main           :98        Converting data for tag tag_5 - High Word: 16717, Low Word: 20046
2025-01-09 22:14:41,741 [INFO] main           :100       Converted value for tag_5: 1313751373
2025-01-09 22:14:41,742 [INFO] main           :108       Converted tag_5 into signed: 1313751373
